Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3,Genre 1,Genre 2,Genre 3
Scarface,0.6203703703703702,0.4736842105263155,0.22047244094488191,0.3150501672240803,18,0.5138888888888888,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",Bryan Singer,,,,,,
Good Will Hunting,0.75,0.4736842105263155,0.13385826771653545,0.3645484949832776,15,0.5972222222222222,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Robert Zemeckis,,,,,,
Oldboy,0.8055555555555536,0.4736842105263155,0.1220472440944882,0.22040133779264215,18,0.6944444444444444,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",Luc Besson,,,,,,
Braveheart,0.731481481481481,0.4736842105263155,0.23622047244094488,0.3645484949832776,15,0.5555555555555556,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Tony Kaye,,,,,,
Judgment at Nuremberg,0.4166666666666643,0.4736842105263155,0.23818897637795275,0.026755852842809364,PG,0.4444444444444444,"Fictionalized depiction of the 1947 Judges' Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",Roman Polanski,,,,,,
2001: A Space Odyssey,0.48148148148148096,0.4736842105263155,0.17913385826771652,0.24615384615384617,U,0.7777777777777777,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.","Roger Allers, Rob Minkoff",,,,,,
Joker,0.9537037037037024,0.4736842105263155,0.12598425196850394,0.5317725752508361,15,0.4305555555555556,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",,,,,,
The Hunt,0.8888888888888893,0.4736842105263155,0.11220472440944881,0.12474916387959867,15,0.6805555555555556,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Sergio Leone,,,,,,
Reservoir Dogs,0.7037037037037024,0.4736842105263155,0.08070866141732283,0.3645484949832776,18,0.7361111111111112,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Isao Takahata,,,,,,
Once Upon a Time in America,0.6296296296296298,0.4736842105263155,0.3366141732283464,0.1274247491638796,18,0.6527777777777777,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Michael Curtiz,,,,,,
Toy Story,0.731481481481481,0.4736842105263155,0.045275590551181105,0.3645484949832776,PG,0.9444444444444444,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,Alfred Hitchcock,,,,,,
